Area,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Belgium-Luxembourg,1000 persons,9542.848,9604.243,9664.536,9721.658000000001,9774.1,9821.171999999999,9863.269,9901.429,9937.218,9971.848,10005.55,10037.949,10068.934000000001,10098.209,10125.569,10151.341,10175.664,10197.886999999999,10217.166,10233.033000000001,10245.373,10254.921999999999,10263.185,10272.166,10283.462,10297.208,10313.367,10333.138,10357.882,10388.335,10425.796999999999,10469.495,10515.483999999999,10558.351999999999,10594.454,10622.274,10643.763,10663.132,10686.421999999999,,,,,,,,,,,,,,
Belize,1000 persons,94.70299999999999,97.384,100.164,103.069,106.119,109.34700000000001,112.69200000000001,116.061,119.26100000000001,122.182,124.79299999999999,127.15,129.29399999999998,131.30700000000002,133.26,135.14700000000002,136.989,138.965,141.305,144.155,147.566,151.5,155.822,160.347,164.921,169.56799999999998,174.32,179.028,183.46900000000002,187.55200000000002,191.128,194.324,197.622,201.68,206.963,213.66400000000002,221.58,230.24400000000003,238.988,247.315,255.063,262.378,269.425,276.504,283.8,291.329,299.025,306.823,314.655,322.464,330.23699999999997,338.0,345.715
Benin,1000 persons,2465.867,2502.896,2542.859,2585.965,2632.3559999999998,2682.159,2735.3070000000002,2791.59,2850.6609999999996,2912.34,2976.572,3043.567,3113.675,3187.4120000000003,3265.165,3347.173,3433.4390000000003,3523.938,3618.526,3717.165,3820.1279999999997,3927.7140000000004,4039.949,4156.819,4278.501,4404.505999999999,4535.263,4672.852,4820.016,4978.496,5149.499,5331.803000000001,5521.763000000001,5714.22,5905.558000000001,6094.259,6281.639,6470.265,6664.098000000001,6865.951,7076.733,7295.394,7520.555,7750.004,7982.225,8216.896999999999,8454.793,8696.921,8944.708,9199.259,9460.831,9729.249,10004.591
Bermuda,1000 persons,45.895,46.81399999999999,47.727,48.592,49.388000000000005,50.117,50.78,51.386,51.976000000000006,52.565,53.162,53.751999999999995,54.32899999999999,54.883,55.4,55.88399999999999,56.33,56.76,57.178000000000004,57.573,57.986000000000004,58.387,58.79,59.19,59.602,60.01,60.419,60.839,61.243,61.63399999999999,62.02,62.388999999999996,62.75,63.101000000000006,63.442,63.773999999999994,64.08,64.393,64.7,65.012,65.329,65.656,65.943,66.15,66.257,66.248,66.12899999999999,65.931,65.67399999999999,65.389,65.078,64.737,64.38600000000001
Bhutan,1000 persons,228.851,234.554,240.523,246.96400000000003,253.99400000000003,261.668,269.947,278.73400000000004,287.89099999999996,297.316,306.955,316.828,326.982,337.485,348.39599999999996,359.725,371.42800000000005,383.32599999999996,395.195,406.875,418.111,428.934,439.82199999999995,451.476,464.26599999999996,478.69199999999995,494.31199999999995,509.54,522.179,530.804,534.632,534.516,532.596,531.8969999999999,534.62,541.465,551.7090000000001,564.377,577.881,591.021,603.64,616.018,627.839,638.815,648.739,657.41,664.8760000000001,671.613,678.323,685.503,693.298,701.581,710.237
Bolivia (Plurinational State of),1000 persons,3728.9640000000004,3802.99,3879.192,3957.757,4038.8720000000003,4122.517,4208.6759999999995,4297.517,4389.246,4484.004,4581.74,4682.39,4785.923,4892.293,5001.419,5113.456,5228.252,5344.939,5462.419,5579.935,5697.096,5814.345,5932.81,6054.1230000000005,6179.46,6309.13,6442.831,6580.312,6721.115,6864.842,7011.453,7160.92,7312.85,7466.793000000001,7622.338000000001,7779.267,7937.4580000000005,8096.7609999999995,8257.065999999999,8418.264000000001,8580.235,8742.814,8905.823,9069.039,9232.306,9395.446,9558.439,9721.454,9884.780999999999,10048.59,10212.954,10377.676,10542.377
"Bonaire, Sint Eustatius and Saba",1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.993000000000002,22.842,23.505
Bosnia and Herzegovina,1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4233.6759999999995,4078.937,3936.5240000000003,3829.05,3764.425,3736.07,3734.337,3743.3540000000003,3751.176,3755.512,3759.387,3762.173,3764.1940000000004,3765.3309999999997,3765.4240000000004,3762.7859999999996,3754.2709999999997,3735.938,3705.472,3661.175,3604.972,3542.6059999999998
Botswana,1000 persons,512.685,523.778,535.685,547.873,559.994,571.964,584.092,596.947,611.3,627.715,646.347,667.092,689.9119999999999,714.712,741.355,769.9789999999999,800.529,832.467,865.075,897.868,930.408,962.875,996.13,1031.4389999999999,1069.5819999999999,1110.943,1154.906,1200.067,1244.484,1286.756,1326.3220000000001,1363.5539999999999,1399.11,1434.059,1469.174,1504.73,1540.425,1575.8239999999998,1610.264,1643.3339999999998,1674.6779999999999,1704.642,1734.398,1765.527,1799.078,1835.908,1875.4589999999998,1915.639,1953.4979999999998,1987.105,2015.4029999999998,2039.556,2062.548
Brazil,1000 persons,74311.343,76514.328,78772.657,81064.571,83373.53,85696.505,88035.814,90387.079,92746.614,95113.265,97482.92,99859.383,102259.49699999999,104706.198,107216.205,109790.93800000001,112425.39199999999,115121.153,117878.411,120694.009,123570.32699999999,126498.314,129448.819,132383.568,135274.08,138108.91199999998,140891.60199999998,143627.503,146328.304,149003.223,151648.011,154259.38,156849.078,159432.716,162019.896,164614.688,167209.04,169785.25,172318.675,174790.34,177196.05399999997,179537.52,181809.246,184006.48100000003,186127.103,188167.35600000003,190130.443,192030.362,193886.508,195713.635,197514.53600000002,199287.299,201035.91199999998
